Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Fortinet,https://www.crunchbase.com/organization/fortinet,,"Cyber Security, Mobile, Network Security, Security","Sunnyvale, California, United States","Fortinet is a provider of network security appliances that include firewalls, security gateways, and complementary products.","177,478","San Francisco Bay Area, Silicon Valley, West Coast",Active,2000-01-01,year,2009-11-18,day,,,For Profit,http://www.fortinet.com,"Fortinet is a provider of network security appliances that delivers a high level of network, content, and application security for enterprises of all sizes, managed service providers, and telecommunications carriers while reducing the total cost of ownership and providing a flexible, scalable path for expansion.",,,,,"Information Technology, Mobile, Privacy and Security","Ken Xie, Michael Xie",3,IPO,2004-03-03,50000000,USD,50000000,Venture - Series Unknown,50000000,USD,50000000,Venture - Series Unknown,89000000,USD,89000000,89000000,USD,89000000,"Redpoint, Meritech Capital Partners, DCM Ventures, DEFTA Partners, Acorn Campus Ventures","DEFTA Partners, Meritech Capital Partners",2,6
Screenz,https://www.crunchbase.com/organization/screenz-8925,,"Advertising Platforms, Digital Signage, Information Technology, Outdoor Advertising, SaaS, Software","Kristiansand, Vest-Agder, Norway","SaaS, Digital Signage","178,561","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,2019-01-01,day,,,,,For Profit,https://www.screenz.io,"Screenz is a new digital signage automation system. We love to create solutions that increase sales and move consumers, products and revenue.",,,,,"Advertising, Information Technology, Sales and Marketing, Software",Rune Solberg,1,Seed,2020-02-15,200000,USD,200000,Pre-Seed,200000,USD,200000,Pre-Seed,200000,USD,200000,200000,USD,200000,,,,
Navantia,https://www.crunchbase.com/organization/navantia,,"Manufacturing, Military, Service Industry","Madrid, Madrid, Spain","Navantia is engaged in the design, construction and integration of warships.","180,064","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2005-01-01,day,,,,,For Profit,https://www.navantia.es/,,,,,,"Government and Military, Information Technology, Manufacturing, Other",,,,,,,,,,,,,,,,,,,,,,
Qamcom,https://www.crunchbase.com/organization/qamcom,,"Internet of Things, Telecommunications, Wired Telecommunications, Wireless","Göteborg, Vastra Gotaland, Sweden","Qamcom provides solutions, products, and services within Wireless Connectivity, Autonomous Systems, and Industrial IoT.","180,234","European Union (EU), Nordic Countries, Scandinavia",Active,2001-01-01,year,,,,,For Profit,https://www.qamcom.com,"Qamcom Research and Technology provides solutions, products and services within Wireless Connectivity (5G), Autonomous Systems (e.g. Autonomous Drive, AD) and Industrial IoT and they want to be the desired technology partner to their customers and research partners. Theywork with stimulating, challenging and state-of-the-art technology and by incorporating it in to solutions and products for their customers they want to provide value to them as well as to the world. They believe that the best way to bring value into products and solutions is to combine creativity and deep knowledge. Their way of creating such environment is to combine people with research education and strong industry experience together with flexible and novel approaches to technology development, business engineering and how they work and organise ourselves. Their ambition is to attract the best R&D experts in their core domains and provide services ranging from customer on-site assignments to in-house turnkey product development projects handling everything from feasibility studies to finished products and modules. They are engaged in national and international research programs and they engage ourselves in all aspects of R&D ranging from detailed algorithm development to product portfolio discussions, system definitions and technology management.",,,,,"Hardware, Internet Services, Messaging and Telecommunications, Mobile",Johan Lassing,1,,2017-06-01,50000,EUR,56064,Grant,,,,,,,,50000,EUR,56064,EISMEA,EISMEA,1,1
Thales Alenia Space,https://www.crunchbase.com/organization/thales-alenia-space,,"Aerospace, Manufacturing","Toulouse, Midi-Pyrenees, France","Thales Alenia Space has designed, integrated, tested, operated and delivered innovative space systems.","181,560","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2007-04-10,day,2007-04-04,day,,,For Profit,https://www.thalesaleniaspace.com,"Thales Alenia Space has designed, integrated, tested, operated and delivered innovative space systems.",,,,,"Manufacturing, Science and Engineering",Denis Ranque,,M&A,,,,,,,,,,,,,,,,,,,
China Molybdenum,https://www.crunchbase.com/organization/china-molybdenum,,"Chemical, Mineral, Mining, Mining Technology","Henan, Shanxi, China","China Molybdenum is a copper, gold, and molybdenum mining company.","181,958",Asia-Pacific (APAC),Active,2006-01-01,year,2007-04-26,day,,,For Profit,http://www.chinamoly.com/en/#,"China Molybdenum Co., Ltd is a China-based company engaged in the mining, smelting, deep processing and trading of rare and noble metals. The Company’s main products portfolio consist of molybdenum, tungsten, gold, silver, electrolytic aluminum as well as copper concentrates. Its molybdenum products include molybdenum concentrates, molybdenum oxides, ferro molybdenum, ammonium molybdates, pure molybdenum disulfides, molybdenum powders, molybdenum plates and molybdenum piercing mandrels, among others. Its tungsten products include tungsten powders, tungsten bars, tungsten rods, tungsten wires and ammonium paratungstates. It operates its business within domestic market and to overseas markets.",,,,,"Natural Resources, Science and Engineering",,1,IPO,2026-01-19,1200000000,USD,1200000000,Post-IPO Debt,,,,,,,,1200000000,USD,1200000000,,,,
Bayan Resources,https://www.crunchbase.com/organization/bayan-resources,,"Mineral, Mining","Kebayoran Baru, Jakarta Raya, Indonesia",Bayan Resources is a coal mining company.,"181,983","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,1973-01-01,day,2008-08-12,day,,,For Profit,https://www.bayan.com.sg/,"Bayan Resources produces coal ranging from sub-bituminous low-sulfur, low-ash coal to bituminous coal with a calorific value. They provide their coal products to the power stations.",,,,,Natural Resources,Low Tuck Kwong,1,IPO,2022-04-14,49400000,USD,49400000,Post-IPO Equity,49400000,USD,49400000,Post-IPO Equity,49400000,USD,49400000,49400000,USD,49400000,,,,
Teledyne Technologies,https://www.crunchbase.com/organization/teledyne-technologies,,"Electronics, Energy, Manufacturing, Telecommunications","Thousand Oaks, California, United States","Teledyne Technologies provides electronic components, instruments, and communications products.","182,438","Greater Los Angeles Area, West Coast, Western US",Active,1960-01-01,year,1999-12-03,day,,,For Profit,http://www.teledyne.com,"Teledyne Technologies provides electronic components, instruments, and communications products in the U.S., Europe, Japan, and Canada. Its Electronics and Communications division offers microwave components and subsystems, high-voltage connectors, and imaging sensors, among other things. Aerospace Engines and Components designs, develops, and manufactures engines, engine controls, and aviation batteries. Energy Systems offers hydrogen-gas generators and thermoelectric and fuel-cell-based power sources for power plants, semiconductor manufacturing, and other industrial processes.  Teledyne was founded in 1960 and is based in Thousand Oaks, Calif.",,,,,"Consumer Electronics, Energy, Hardware, Manufacturing",George Kozmetsky,,IPO,,,,,,,,,,,,,,,,,,,
Hindalco Industries,https://www.crunchbase.com/organization/hindalco-industries,,Mining,"Mumbai, Maharashtra, India","Hindalco Industries produces aluminium and copper products, focusing on rolling and recycling.","183,585",Asia-Pacific (APAC),Active,1958-01-01,year,1997-01-08,day,,,For Profit,http://www.hindalco.com/,"Hindalco Industries Limited, metals flagship company of the Aditya Birla Group, is the industry leader in aluminium and copper. With a consolidated turnover of US$18 billion, Hindalco is the world’s largest aluminium rolling company and one of Asia’s biggest producers of primary aluminium. Its state-of-art copper facility comprises a world-class copper smelter and a fertiliser plant along with a captive jetty. The copper smelter is among the world’s largest custom smelters at a single location.In India, the company’s aluminium units across the country encompass the gamut of operations from bauxite mining, alumina refining, coal mining, captive power plants and aluminium smelting to downstream rolling, extrusions and foils. Today, Hindalco ranks among the global aluminium majors as an integrated producer and a footprint in 10 countries outside India.The Birla Copper unit produces copper cathodes and continuous cast copper rods, along with other by-products, including gold, silver, and DAP fertilisers. It is India’s largest private producer of gold.Hindalco has been accorded Star Trading House status in India. Its aluminium is accepted for delivery under the High-Grade Aluminium Contract on the London Metal Exchange (LME), while its copper quality is also registered on the LME with Grade A accreditation.",,,,,Natural Resources,"Aditya Vikram Birla, Ghanshyam Das Birla",,IPO,,,,,,,,,,,,,,,,,,,
Bruhn NewTech,https://www.crunchbase.com/organization/bruhn-newtech,,"Information Technology, Software","Søborg, Hovedstaden, Denmark",Bruhn NewTech provides complete end-to-end solutions that saves lives in case of chemical terrorist attacks.,"185,225","European Union (EU), Nordic Countries, Scandinavia",Active,1989-01-01,year,2024-07-01,day,,,For Profit,https://bruhn-newtech.com/,"Bruhn NewTech provides complete end-to-end solutions that saves lives in case of chemical terrorist attacks. The protection covers the full suite of airborne hazards whether accidental, intentional or natural – and whether they include explosives or chemical, biological, radiological or nuclear material. Their complete solution enables you to help as many people as possible get away from the danger and give emergency responders the information they need to respond efficiently. Bruhn NewTech specialises in software solutions that help you save lives by providing a complete information management solution for both preparation and response to events involving Explosives and Hazardous Materials. Their solutions reduce response time and enable lifesaving decisions to be made rapidly.",,,,,"Information Technology, Software",Erik Bakke,1,M&A,2018-04-01,71429,EUR,87953,Grant,,,,,,,,71429,EUR,87953,EISMEA,,,1
